split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,100,0,EASY,4,0.0,0.08339273844109513,0.29393115942028986,1,0.1619211846365075,0.6759792158496704,0.21536458333333341,CONTINUE
calibration,100,0,EASY,8,0.0,0.14605870677074587,0.31125452898550726,1,0.14975486512313074,1.3845793690398713,0.08674768518518527,CONTINUE
calibration,100,0,EASY,16,0.05617283950617291,0.16606042576524532,0.20357789855072464,0,0.10122248503100309,3.0439088953065525,0.021836419753086367,CONTINUE
calibration,100,0,EASY,32,0.0,0.20633975047014397,0.15862771739130435,4,0.28777080446969233,7.346713823194167,-0.015625,STOP
calibration,100,0,MEDIUM,4,0.0,0.08066947309917513,0.29393115942028986,1,0.1623651401290277,0.6772418179595028,0.2176675451807229,CONTINUE
calibration,100,0,MEDIUM,8,0.0,0.14795470423930498,0.3233695652173913,1,0.14793180044396054,1.3846453860059218,0.07460466867469884,CONTINUE
calibration,100,0,MEDIUM,16,0.0,0.16844676424640068,0.1949728260869565,3,0.24101754249994145,3.3995693193317424,0.00909262048192775,CONTINUE
calibration,100,0,MEDIUM,32,0.0,0.1907397301156537,0.16542119565217392,12,0.7513249321357391,10.71168711518856,-0.014231927710843369,STOP
calibration,100,0,RUGGED,4,0.0,0.05812692526169613,0.3345788043478261,1,0.16052444589479625,0.7370030269935198,0.2951580668604652,CONTINUE
calibration,100,0,RUGGED,8,0.013081395348837344,0.12086166776506291,0.4020606884057971,0,0.10788765030928105,1.3652539892748345,0.11279978197674423,CONTINUE
calibration,100,0,RUGGED,16,0.07703488372093037,0.18230789535721806,0.20889945652173914,0,0.09006485141532272,2.978176404562815,-0.015625,STOP
calibration,100,0,RUGGED,32,0.0,0.18501715639619332,0.190330615942029,16,0.8896968984779726,13.170612077939449,-0.015625,STOP
calibration,100,1,EASY,4,0.0012345679012345512,0.08558560523095518,0.36843297101449274,0,0.12160604197017788,0.612549421579513,0.21603973765432094,CONTINUE
calibration,100,1,EASY,8,0.0654320987654321,0.12997169473820527,0.24898097826086957,0,0.09690404870748234,1.3407468704261767,0.08219521604938262,CONTINUE
calibration,100,1,EASY,16,0.008024691358024638,0.157521958620165,0.2107110507246377,0,0.12566314353297647,2.974495991784628,0.024980709876543203,CONTINUE
calibration,100,1,EASY,32,0.0,0.17120910166925848,0.2112771739130435,10,0.6418199234191696,9.24779611873804,-0.015625,STOP
calibration,100,1,MEDIUM,4,0.0036144578313254128,0.08317185387678921,0.36345108695652173,0,0.12117717303074492,0.6160965802208174,0.21243411144578295,CONTINUE
calibration,100,1,MEDIUM,8,0.03524096385542175,0.1267927048037136,0.27117300724637683,0,0.10914260130225169,1.3479234109211076,0.11442018072289153,CONTINUE
calibration,100,1,MEDIUM,16,0.0,0.15654062623425236,0.24728260869565216,1,0.15641718719035982,3.134282272166399,-0.01457078313253012,STOP
calibration,100,1,MEDIUM,32,0.0,0.1626842864302751,0.21388134057971014,17,0.9122079889302991,14.025461065959863,0.00037650602409646655,CONTINUE
