stage,seed,episode,family,level,problem_seed,agent_seed,target_signature,terminal_regret,efficiency_error,best_score,success_at_threshold,reached_global_optimum,final_population_diversity,target_normalized_score
screening,300,0,FAMILY_A_DECEPTION_ONLY,A1,4002103,13003301,521f58f0c608a685,0.08281249999999996,0.20781249999999996,0.9171875,0,0,0.213768115942029,1.0
screening,300,0,FAMILY_A_DECEPTION_ONLY,A2,4002103,13003301,521f58f0c608a685,0.08281249999999996,0.20781249999999996,0.9171875,0,0,0.21274909420289856,1.0
screening,300,0,FAMILY_A_DECEPTION_ONLY,A3,4002103,13003301,521f58f0c608a685,0.050000000000000044,0.17500000000000004,0.95,0,0,0.20199275362318841,1.0
screening,300,0,FAMILY_A_DECEPTION_ONLY,A4,4002103,13003301,521f58f0c608a685,0.03749999999999998,0.16249999999999998,0.9625,0,0,0.21252264492753623,1.0
screening,300,0,FAMILY_B_INTERACTION_DENSITY_ONLY,B1,4002103,13003301,521f58f0c608a685,0.09687500000000004,0.22187500000000004,0.903125,0,0,0.22758152173913043,1.0
screening,300,0,FAMILY_B_INTERACTION_DENSITY_ONLY,B2,4002103,13003301,521f58f0c608a685,0.08079268292682917,0.20579268292682917,0.9192073170731708,0,0,0.18285778985507245,1.0
screening,300,0,FAMILY_B_INTERACTION_DENSITY_ONLY,B3,4002103,13003301,521f58f0c608a685,0.17500000000000004,0.30000000000000004,0.825,0,0,0.21976902173913043,1.0
screening,300,0,FAMILY_B_INTERACTION_DENSITY_ONLY,B4,4002103,13003301,521f58f0c608a685,0.11463414634146352,0.23963414634146352,0.8853658536585365,0,0,0.19904891304347827,1.0
screening,300,0,FAMILY_C_CONFLICTING_INTERACTIONS,C1,4002103,13003301,521f58f0c608a685,0.13545454545454538,0.2604545454545454,0.8645454545454546,0,0,0.22078804347826086,1.0
screening,300,0,FAMILY_C_CONFLICTING_INTERACTIONS,C2,4002103,13003301,521f58f0c608a685,0.08091603053435115,0.20591603053435115,0.9190839694656489,0,0,0.2190896739130435,1.0
