stage,seed,family,level,mean_terminal_regret,median_terminal_regret,mean_efficiency_error,mean_best_score,success_rate_at_threshold,global_optimum_success_rate,mean_final_population_diversity,episodes
screening,300,FAMILY_A_DECEPTION_ONLY,A1,0.09218749999999998,0.08281249999999996,0.21718749999999998,0.9078125,0.1875,0.1875,0.21033599411231885,16
screening,300,FAMILY_A_DECEPTION_ONLY,A2,0.08300781249999997,0.08281249999999996,0.20800781249999997,0.9169921875,0.125,0.125,0.20480921648550726,16
screening,300,FAMILY_A_DECEPTION_ONLY,A3,0.07568359375000003,0.07500000000000007,0.20068359375,0.92431640625,0.1875,0.1875,0.2036628170289855,16
screening,300,FAMILY_A_DECEPTION_ONLY,A4,0.06513671874999996,0.04375000000000001,0.19013671874999993,0.93486328125,0.0,0.0,0.2004005321557971,16
screening,300,FAMILY_B_INTERACTION_DENSITY_ONLY,B1,0.07431640625000002,0.07640625000000001,0.19931640625000002,0.92568359375,0.125,0.125,0.20318161231884058,16
screening,300,FAMILY_B_INTERACTION_DENSITY_ONLY,B2,0.08837652439024384,0.07759146341463408,0.21337652439024385,0.9116234756097562,0.0,0.0,0.19989102128623187,16
screening,300,FAMILY_B_INTERACTION_DENSITY_ONLY,B3,0.09374999999999997,0.08079268292682917,0.21874999999999997,0.90625,0.0,0.0,0.20205644248188406,16
screening,300,FAMILY_B_INTERACTION_DENSITY_ONLY,B4,0.09054878048780482,0.07996273712737123,0.21554878048780482,0.9094512195121952,0.0,0.0,0.20182999320652173,16
screening,300,FAMILY_C_CONFLICTING_INTERACTIONS,C1,0.09796085858585858,0.08292929292929291,0.2229608585858586,0.9020391414141414,0.0,0.0,0.20323114809782608,16
screening,300,FAMILY_C_CONFLICTING_INTERACTIONS,C2,0.08333969465648858,0.08091603053435115,0.20833969465648858,0.9166603053435114,0.125,0.125,0.2060051517210145,16
screening,300,FAMILY_C_CONFLICTING_INTERACTIONS,C3,0.08535897435897437,0.07651282051282049,0.21035897435897438,0.9146410256410257,0.0625,0.0625,0.20976279438405798,16
screening,300,FAMILY_C_CONFLICTING_INTERACTIONS,C4,0.0903165374677003,0.09188630490956073,0.2153165374677003,0.9096834625322997,0.0625,0.0625,0.20416525135869568,16
screening,301,FAMILY_A_DECEPTION_ONLY,A1,0.08613281249999998,0.08281249999999996,0.2111328125,0.9138671875000001,0.125,0.125,0.20679064764492755,16
screening,301,FAMILY_A_DECEPTION_ONLY,A2,0.09335937499999997,0.08749999999999991,0.21835937499999997,0.9066406250000001,0.1875,0.1875,0.20269333106884058,16
screening,301,FAMILY_A_DECEPTION_ONLY,A3,0.08876953125,0.08281249999999996,0.21376953125000003,0.91123046875,0.0625,0.0625,0.19520635190217392,16
screening,301,FAMILY_A_DECEPTION_ONLY,A4,0.06591796874999992,0.03749999999999992,0.19091796874999992,0.9340820312500001,0.0,0.0,0.20098080842391305,16
screening,301,FAMILY_B_INTERACTION_DENSITY_ONLY,B1,0.07816406250000002,0.08281249999999996,0.20316406250000002,0.9218359375,0.0,0.0,0.2041794044384058,16
screening,301,FAMILY_B_INTERACTION_DENSITY_ONLY,B2,0.08810975609756096,0.08048780487804885,0.21310975609756094,0.911890243902439,0.125,0.125,0.21245895606884058,16
screening,301,FAMILY_B_INTERACTION_DENSITY_ONLY,B3,0.08043064024390244,0.07804878048780495,0.20543064024390245,0.9195693597560977,0.125,0.125,0.20788751132246377,16
screening,301,FAMILY_B_INTERACTION_DENSITY_ONLY,B4,0.06958206300813,0.07574525745257443,0.19458206300813,0.93041793699187,0.125,0.125,0.21018031023550726,16
screening,301,FAMILY_C_CONFLICTING_INTERACTIONS,C1,0.08558712121212123,0.07914141414141412,0.21058712121212123,0.9144128787878788,0.0625,0.0625,0.2041015625,16
screening,301,FAMILY_C_CONFLICTING_INTERACTIONS,C2,0.08930661577608145,0.07974554707379133,0.21430661577608145,0.9106933842239185,0.0625,0.0625,0.20596976902173914,16
screening,301,FAMILY_C_CONFLICTING_INTERACTIONS,C3,0.08395512820512821,0.08035897435897432,0.2089551282051282,0.9160448717948717,0.0625,0.0625,0.2000679347826087,16
screening,301,FAMILY_C_CONFLICTING_INTERACTIONS,C4,0.077874677002584,0.07333333333333336,0.202874677002584,0.922125322997416,0.0625,0.0625,0.20253057065217392,16
screening,302,FAMILY_A_DECEPTION_ONLY,A1,0.09648437499999998,0.08984375,0.22148437499999996,0.903515625,0.1875,0.1875,0.19791666666666669,16
screening,302,FAMILY_A_DECEPTION_ONLY,A2,0.08261718749999998,0.08750000000000002,0.20761718749999997,0.9173828125,0.0625,0.0625,0.20489413496376813,16
screening,302,FAMILY_A_DECEPTION_ONLY,A3,0.08798828125000002,0.08750000000000008,0.21298828125000002,0.91201171875,0.0625,0.0625,0.20535411005434784,16
screening,302,FAMILY_A_DECEPTION_ONLY,A4,0.07001953124999995,0.04999999999999999,0.19501953124999993,0.9299804687500001,0.0,0.0,0.20712324501811594,16
screening,302,FAMILY_B_INTERACTION_DENSITY_ONLY,B1,0.09830078125000004,0.1050000000000001,0.22330078125000002,0.9016992187499999,0.0625,0.0625,0.21148947010869565,16
screening,302,FAMILY_B_INTERACTION_DENSITY_ONLY,B2,0.08875762195121946,0.08079268292682917,0.21375762195121945,0.9112423780487805,0.0625,0.0625,0.21163807744565216,16
screening,302,FAMILY_B_INTERACTION_DENSITY_ONLY,B3,0.10125762195121951,0.12088414634146344,0.2262576219512195,0.8987423780487804,0.0625,0.0625,0.21773097826086957,16
screening,302,FAMILY_B_INTERACTION_DENSITY_ONLY,B4,0.07897611788617881,0.07710027100271,0.2039761178861788,0.9210238821138212,0.125,0.125,0.20769644474637683,16
screening,302,FAMILY_C_CONFLICTING_INTERACTIONS,C1,0.10395833333333337,0.11318181818181827,0.22895833333333337,0.8960416666666666,0.0625,0.0625,0.2147659080615942,16
screening,302,FAMILY_C_CONFLICTING_INTERACTIONS,C2,0.1054961832061069,0.11394402035623413,0.2304961832061069,0.8945038167938931,0.0625,0.0625,0.21567170516304346,16
screening,302,FAMILY_C_CONFLICTING_INTERACTIONS,C3,0.10181410256410259,0.10194871794871796,0.2268141025641026,0.8981858974358974,0.0625,0.0625,0.21567878170289856,16
screening,302,FAMILY_C_CONFLICTING_INTERACTIONS,C4,0.07818475452196386,0.07204134366925063,0.20318475452196386,0.9218152454780362,0.0625,0.0625,0.20003962862318841,16
screening,303,FAMILY_A_DECEPTION_ONLY,A1,0.07832031249999999,0.06874999999999998,0.2033203125,0.9216796875000001,0.1875,0.1875,0.20314622961956522,16
screening,303,FAMILY_A_DECEPTION_ONLY,A2,0.09697265624999998,0.09218749999999998,0.22197265624999998,0.90302734375,0.0625,0.0625,0.20970618206521738,16
screening,303,FAMILY_A_DECEPTION_ONLY,A3,0.09111328125000002,0.10000000000000003,0.21611328125000004,0.9088867187499999,0.0,0.0,0.21310999773550726,16
screening,303,FAMILY_A_DECEPTION_ONLY,A4,0.06435546874999995,0.04999999999999993,0.18935546874999995,0.93564453125,0.0,0.0,0.19899937726449274,16
screening,303,FAMILY_B_INTERACTION_DENSITY_ONLY,B1,0.08136718750000002,0.08281249999999996,0.20636718750000002,0.9186328125,0.125,0.125,0.20842532835144928,16
screening,303,FAMILY_B_INTERACTION_DENSITY_ONLY,B2,0.101905487804878,0.11478658536585368,0.22690548780487801,0.898094512195122,0.0,0.0,0.21044214221014493,16
screening,303,FAMILY_B_INTERACTION_DENSITY_ONLY,B3,0.11055640243902436,0.11463414634146352,0.23555640243902437,0.8894435975609757,0.0,0.0,0.207908740942029,16
